Nr,game_system,name,Beschreibung,Quelle,source_id,page_number,bonus,stufe,ap,Art,Zauberdauer,Reichweite,Wirkungsziel,Wirkungsbereich,Wirkungsdauer,Ursprung,Category,learning_category,Agens,Reagens,Material (Kosten)
,,,,,,,,,,,,,,,,,,,,,
1,Midgard,Angst,,Ark,2,,,2,2 je Wesen,Wort,Augenblick,30 m,Geist,max 10 Wesen,10 min,dr,Beherrschen,Spruch,Feuer,Wasser,0
2,Midgard,Anstacheln,,Ark,2,,,2,2,Wort,10 sec,30 m,Geist,1 Wesen,2 h,dä,Beherrschen,Spruch,Luft,Wasser,0
3,Midgard,Anziehen,,Ark,2,,,2,2,Wort,10 sec,30 m,Geist,1 Wesen,6 h,dä,Beherrschen,Spruch,Wasser,Wasser,0
4,Midgard,Auffrischen,,Ark,2,,,1,1,Geste,10 sec,15 m,Umgebung,1 Objekt,30 min,dr,Formen,Spruch,Magan,Metall,0
5,Midgard,Auflösung,,Ark,2,,,12,8,Geste,30 sec,30 m,Umgebung,1 m Umkreis,"2 min, k",dä,Zerstören,Spruch,Magan,Metall,"Moder, Staub, Knochenmehl, Rostflocken (20 GS)"
6,Midgard,Auskühlen,,Ark,2,,,4,2,Geste,10 sec,15 m,Körper,1 Wesen,2 min,el,Verändern,Spruch,Eis,Erde,0
7,Midgard,Bannen von Kälte,,Ark,2,,,5,4,Geste,10 min,0 m,Umgebung,3 m Umkreis,8 h,el,Zerstören,Spruch,Feuer,Eis,Holzkohlestück (1 SS)
8,Midgard,Bannen von Licht,,Ark,2,,,2,1,Wort,Augenblick,0 m,Umgebung,9 m Umkreis,10 min,gö,Zerstören,Spruch,Eis,Feuer,0
9,Midgard,Bannen von Zauberwerk,,Ark,2,,,4,4,Wort,2 min,15 m,Umgebung,1 Wesen/Objekt,0,dä,Zerstören,Spruch,Metall,Magan,0
10,Midgard,Beeinflussen,,Ark,2,,,5,3,Wort,10 sec,15 m,Geist,1 Wesen,10 min,dä,Beherrschen,Spruch,Feuer,Luft,0
11,Midgard,Befestigen,,Ark,2,,,2,2,Geste,1 min,Berührung,Umgebung,1 Objekt,1 Monat,dä,Bewegen,Spruch,Magan,Metall,"""eigener Speichel"""
12,Midgard,Besänftigen,,Ark,2,,,3,1 je Grad,Wort,10 sec,30 m,Geist,1 Wesen,0,dä,Beherrschen,Spruch,Wasser,Wasser,0
13,Midgard,Beschleunigen,,Ark,2,,,6,6,Geste,10 sec,15 m,Körper,1 Wesen,1 min,dä,Verändern,Spruch,Magan,Erde,0
14,Midgard,Binden des Vertrauten,,Ark,2,,,6,3,Gedanke,Augenblick,Berührung,Geist,1 km Umkreis,2 h,dä,Beherrschen,Spruch,Wasser,Wasser,0
15,Midgard,Blaue Bannsphäre,,Ark,2,,,3,2,Geste,20 sec,0 m,Geist,3 m Umkreis,2 min,gö,Beherrschen,Spruch,Luft,Eis,0
16,Midgard,Blauer Zwingkreis,,Ark,2,,,7,4,Geste,20 sec,30 m,Geist,6 m Umkreis,10 min,gö,Beherrschen,Spruch,Luft,Eis,Eichenholzreif (20 GS)
17,Midgard,Blenden,,Ark,2,,,8,4,Geste,Augenblick,9 m Umkreis,Umgebung,-,1 min,gö,Erschaffen,Spruch,Feuer,Feuer,0
18,Midgard,Blendwerk,,Ark,2,,,8,4,Geste,10 sec,50 m,Geist,1 Wesen/Objekt,1W6x10 min,dä,Beherrschen,Spruch,Magan,Feuer,Goldstaub (50 GS)
19,Midgard,Blitze schleudern,,Ark,2,,,6,2 je Blitz,Geste,10 sec,200 m,Umgebung,1-10 Strahlen,0,dä,Erschaffen,Spruch,Luft,Feuer,getrocknetes Zitteraalherz (5 GS)
20,Midgard,Böser Blick,,Ark,2,,,4,2,Gedanke,10 sec,15 m,Körper,1 Wesen,∞,sm,Zerstören,Spruch,Eis,Holz,0
21,Midgard,Brot und Wasser,,Ark,2,,,1,3,Gedanke,10 min,0 m,Umgebung,-,0,dä,Erschaffen,Spruch,Holz,Wasser,Mehlstaub und Wassertropfen (1 GS)
22,Midgard,Dämonenfeuer,,Ark,2,,,5,3,Geste,10 sec,30 m,Umgebung,Strahl,"2 min, k",dä,Erschaffen,Spruch,Magan,Magan,Phosphor (50 GS)
23,Midgard,Dämonenkugeln,,Ark,2,,,6,4,Geste,10 sec,50 m,Umgebung,Strahl,"2 min, k",dä,Erschaffen,Spruch,Magan,Magan,Phosphor (50 GS)
24,Midgard,Dämonenschwert,,Ark,2,,,6,4,Geste,10 sec,0 m,Umgebung,-,2 min,dä,Erschaffen,Spruch,Magan,Magan,Phosphor (50 GS)
25,Midgard,Dämonische Zaubermacht,,Ark,2,,,3,1,Wort,10 min,-,Körper,Zauberer,10 min,dä,Verändern,Spruch,Magan,Wasser,0
26,Midgard,Deckmantel,,Ark,2,,,7,6,Geste,10 sec,0 m,Umgebung,6 m Umkreis,"8 h, k",dä,Zerstören,Spruch,Magan,Magan,Goldreif (50 GS)
27,Midgard,Dinge verbergen,,Ark,2,,,1,1,Gedanke,10 min,Berührung,Geist,1 Objekt,12 h,dä,Zerstören,Spruch,Magan,Magan,0
28,Midgard,Dinge wiederfinden,,Ark,2,,,1,1,Gedanke,10 min,unbegrenzt,Geist,1 Objekt,10 min,dä,Erkennen,Spruch,Magan,Metall,0
29,Midgard,Donnerkeil,,Ark,2,,,8,4,Geste,10 sec,50 m,Umgebung,Strahl,0,dä,Erschaffen,Spruch,Luft,Feuer,Murmeln aus Donnerechsenhorn (50 GS)
30,Midgard,Drittes Auge,,Ark,2,,,1,1,Geste,10 sec,0 m,Umgebung,100 m Umkreis,10 min,el,Erkennen,Spruch,Magan,Feuer,Kristallauge (10 GS)
31,Midgard,Dschungelwand,,Ark,2,,,4,1 je m Breite,Geste,10 sec,15 m,Umgebung,-,10 min,el,Erschaffen,Spruch,Holz,Holz,Smaragd (50 GS)
32,Midgard,Eisenhaut,,Ark,2,,,7,4,Geste,20 sec,Berührung,Körper,1 Wesen,2 min,dä,Verändern,Spruch,Metall,Erde,Eisenpulver (20 GS)
33,Midgard,Eisiger Nebel,,Ark,2,,,3,1 je m²,Geste,10 sec,50 m,Umgebung,3 m Umkreis,1 min,el,Erschaffen,Spruch,Eis,Eis,Bergkristall (20 GS)
34,Midgard,Eiswand,,Ark,2,,,4,1 je m Breite,Geste,10 sec,15 m,Umgebung,-,10 min,el,Erschaffen,Spruch,Eis,Eis,Diamant (50 GS)
35,Midgard,Eiswandlung,,Ark,2,,,5,3,Geste,10 sec,200 m,Umgebung,bis zu 10 m³,var,el,Formen,Spruch,Wasser,Eis,reinstes Wasser (50 GS)
36,Midgard,Elementenwandlung,,Ark,2,,,5,6,Geste,var,5 m,Umgebung,bis zu 1 m³,∞,el,Formen,Spruch,Ausgangselement,Zielelement,Edelstein (100 GS)
37,Midgard,Entgiften,,Ark,2,,,4,2,Wort,30 sec,3 m,Umgebung,1 Objekt,0,dr,Zerstören,Spruch,Magan,Eis,0
38,Midgard,Erdbeben,,Ark,2,,,9,6,Geste,1 min,0 m,Umgebung,1 km Umkreis,10 min,el,Bewegen,Spruch,Erde,Erde,0
39,Midgard,Erdfessel,,Ark,2,,,5,3,Geste,Augenblick,50 m,Umgebung,1 m Umkreis,2 min,el,Bewegen,Spruch,Erde,Erde,Honig-Erd-Gemisch (5 GS)
40,Midgard,Erdwandlung,,Ark,2,,,9,6,Geste,20 sec,Berührung,Umgebung,1 m³,∞,el,Formen,Spruch,Erde,Erde,Bernstein (100 GS)
41,Midgard,Erkennen von Leben,,Ark,2,,,1,1,Gedanke,Augenblick,0 m,Geist,15 m Kegel,1 min,dä,Erkennen,Spruch,Magan,Wasser,0
42,Midgard,Erkennen von Zauberei,,Ark,2,,,4,2,Gedanke,Augenblick,15 m,Geist,1 m²,0,dä,Erkennen,Spruch,Magan,Magan,0
43,Midgard,Erscheinungen,,Ark,2,,,10,6,Geste,20 sec,30 m,Geist,3 m Umkreis,"2 min, k",dä,Beherrschen,Spruch,Magan,Feuer,Blütenstaub vom blauen Mohn (100 GS)
44,Midgard,Erwecken,,Ark,2,,,5,3,Geste,10 sec,30 m,Körper,1 Wesen,2 min,sm,Verändern,Spruch,Eis,Erde,0
45,Midgard,Felsenfaust,,Ark,2,,,2,1,Geste,10 sec,Berührung,Körper,1 Wesen,2 min,el,Verändern,Spruch,Erde,Erde,Kieselstein (1 SS)
46,Midgard,Fesselbann,,Ark,2,,,6,2 je Grad,Geste,10 sec,30 m,Körper,1 Wesen,"10 min, k",gö,Erschaffen,Spruch,Luft,Magan,Fadenstück einer Riesenspinne (50 GS)
47,Midgard,Feuerfinger,,Ark,2,,,1,1,Geste,Augenblick,0 m,Umgebung,Zauberer,"2 min, k",el,Erschaffen,Spruch,Feuer,Feuer,0
48,Midgard,Feuerkugel,,Ark,2,,,3,2,Geste,10 sec,50 m,Umgebung,3 m Umkreis,"2 min, k",el,Erschaffen,Spruch,Feuer,Feuer,Blutstein (30 GS)
49,Midgard,Feuerlanze,,Ark,2,,,6,3,Geste,10 sec,50 m,Umgebung,Strahl,0,el,Erschaffen,Spruch,Feuer,Feuer,Korallenstück (20 GS)
50,Midgard,Feuerlauf,,Ark,2,,,5,3,Gedanke,10 sec,-,Körper,1 Wesen,10 min,el,Verändern,Spruch,Erde,Erde,0
51,Midgard,Feuermeisterschaft,,Ark,2,,,9,6,Geste ,20 sec,30 m,Umgebung,2 m Umkreis,2 min,el,Formen,Spruch,Feuer,Feuer,Stück einer Drachenzunge (100 GS)
52,Midgard,Feuerregen,,Ark,2,,,12,18,Geste,30 sec,100 m,Umgebung,30 m Umkreis,"1 min, k",el,Erschaffen,Spruch,Feuer,Feuer,Basaltstaub und Rubinsplitter (100 GS)
53,Midgard,Feuerring,,Ark,2,,,8,4,Geste,20 sec,0 m,Umgebung,6 m Umkreis,30 min,el,Erschaffen,Spruch,Feuer,Feuer,Zwergdrachenflügel und Zauberöl (100 GS)
54,Midgard,Feuerschild,,Ark,2,,,6,3,Geste,10 sec,15 m,Umgebung,-,2 min,el,Erschaffen,Spruch,Eis,Eis,Diamantstaub (20 GS)
55,Midgard,Feuerwand,,Ark,2,,,4,1 je m Breite,Geste,10 sec,15 m,Umgebung,-,10 min,el,Erschaffen,Spruch,Feuer,Feuer,Rubin (50 GS)
56,Midgard,Flammende Hand,,Ark,2,,,3,2,Geste ,10 sec,0 m,Umgebung,Zauberer,2 min,el,Erschaffen,Spruch,Feuer,Feuer,0
57,Midgard,Flammenklinge,,Ark,2,,,6,4,Geste,1 min,Berührung,Umgebung,1 Objekt,10 min,el,Formen,Spruch,Feuer,Metall,"""Klinge aus Alchimistenmetall"""
58,Midgard,Flammenkreis,,Ark,2,,,2,1,Geste,Augenblick,Berührung,Umgebung,1 Wesen,2 min,dr,Erschaffen,Spruch,Holz,Holz,Zunder (1 SS)
59,Midgard,Flammenteppich,,Ark,2,,,5,1 je m²,Geste,10 sec,50 m,Umgebung,bis zu 10 m²,1 min,el,Erschaffen,Spruch,Feuer,Feuer,Feuertopas (20 GS)
60,Midgard,Flicken,,Ark,2,,,1,1,Geste,10 sec,Berührung,Umgebung,1 Objekt,10 min,dr,Formen,Spruch,Magan,Metall,0
61,Midgard,Fliegen,,Ark,2,,,11,9,Geste,30 sec,-,Körper,Zauberer,"1 h, k",dä,Bewegen,Spruch,Luft,Erde,Greifenschwungfeder (100 GS)
62,Midgard,Freundesauge,,Ark,2,,,7,4,Gedanke,10 sec,500 m,Geist,1 Wesen,"30 min, k",dä,Beherrschen,Spruch,Wasser,Feuer,0
63,Midgard,Frostball,,Ark,2,,,2,1,Geste,10 sec,200 m,Umgebung,Strahl,0,el,Erschaffen,Spruch,Eis,Eis,Silberperle oder Bergkristall (10 GS)
64,Midgard,Funkenregen,,Ark,2,,,7,2 je Grad,Geste,10 sec,30 m,Geist,1 Wesen,1 min,dä,Beherrschen,Spruch,Feuer,Feuer,Sternenstaub (20 GS)
65,Midgard,Geisterhorn,,Ark,2,,,1,1,Geste,10 sec,0 m,Umgebung,100 m Umkreis,10 min,dä,Erkennen,Spruch,Magan,Eis,Kristallpyramide (10 GS)
66,Midgard,Geistersperre,,Ark,2,,,6,1 je 5 m² Fläche,Geste,10 sec,Berührung,Umgebung,bis zu 100 m²,8 h,dä,Erschaffen,Spruch,Metall,Metall,Eisenspäne (10 GS)
67,Midgard,Geistesschild,,Ark,2,,,6,var,Gedanke,Augenblick,-,Geist,Zauberer,10 min,dä,Zerstören,Spruch,Feuer,Magan,0
68,Midgard,Geräusche dämpfen,,Ark,2,,,2,1,Geste,Augenblick,0 m,Umgebung,3 m Umkreis,5 min,dä,Formen,Spruch,Metall,Luft,0
69,Midgard,Goldener Panzer,,Ark,2,,,4,2,Geste,10 sec,Berührung,Umgebung,1 Wesen,2 min,dä,Formen,Spruch,Metall,Metall,Goldstaub (50 GS)
70,Midgard,Goldene Sphäre,,Ark,2,,,4,2,Geste,20 sec,0 m,Umgebung,3 m Umkreis,2 min,gö,Zerstören,Spruch,Metall,Magan,0
71,Midgard,Graue Hand,,Ark,2,,,10,7,Geste,10 sec,Berührung,Körper,1 Wesen,0,sm,Zerstören,Spruch,Eis,Erde,0
72,Midgard,Hagel,,Ark,2,,,12,12,Geste,30 sec,100 m,Umgebung,30 m Umkreis,"2 min, k",el,Erschaffen,Spruch,Eis,Eis,Wasser und Diamantsplitter (50 GS)
73,Midgard,Hauch der Betäubung,,Ark,2,,,5,3,Geste,Augenblick,0 m,Umgebung,bis zu 18 m Umkreis,1 min,dä,Erschaffen,Spruch,Eis,Holz,getrocknetes Vampirmoos (10 GS)
74,Midgard,Hauch der Verwesung,,Ark,2,,,4,2,Geste,Augenblick,0 m,Umgebung,bis zu 18 m Umkreis,1 min,dä,Erschaffen,Spruch,Eis,Erde,Stinkmorschelasche (2 GS)
75,Midgard,Hauch des Winters,,Ark,2,,,1,1,Geste,Augenblick,0 m,Umgebung,12 m Umkreis,10 min,el,Formen,Spruch,Eis,Luft,Schneewolfhaare (20 GS)
76,Midgard,Heimfeder,,Ark,2,,,3,2,Geste,1 min,3 m,Umgebung,1 Objekt,30 min,dr,Erkennen,Spruch,Wasser,Luft,"Taubenschwungfeder (5 SS) und ""Wasser"""
77,Midgard,Heranholen,,Ark,2,,,1,1,Geste,10 sec,30 m,Umgebung,1 Objekt,10 sec,dä,Bewegen,Spruch,Luft,Metall,0
78,Midgard,Hexenstreich,,Ark,2,,,5,2,Geste,10 sec,15 m,Körper,1 Wesen,∞,dä,Verändern,Spruch,Magan,Erde,0
79,Midgard,Himmelsleiter,,Ark,2,,,9,6,Geste,1 min,50 m,Umgebung,-,10 min,gö,Erschaffen,Spruch,Metall,Feuer,0
80,Midgard,Hitzeschutz,,Ark,2,,,2,1,Gedanke,Augenblick,-,Körper,Zauberer,2 min,dä,Verändern,Spruch,Wasser,Erde,0
81,Midgard,Höhenblick,,Ark,2,,,3,2,Geste,10 sec,50 m,Umgebung,-,"1 min, k", dä,Bewegen,Spruch,Luft,Feuer,Auge eines Greifvogels (50 GS)
82,Midgard,Hören der Geister,,Ark,2,,,5,1 je 10 sec Dauer,Gedanke,10 sec,0 m,Körper,6 m Umkreis,10 sec je Grad,dä,Erkennen,Spruch,Eis,Luft,0
83,Midgard,Hören von Fernem,,Ark,2,,,1,1,Gedanke,1 min,Berührung,Körper,1 Wesen,10 min,dä,Verändern,Spruch,Magan,Wasser,0
84,Midgard,Hörnerklang,,Ark,2,,,2,1,Wort,Augenblick,0 m,Umgebung,2 km Umkreis,10 sec,dä,Formen,Spruch,Magan,Luft,0
85,Midgard,Juwelenauge,,Ark,2,,,5,2,Geste,10 sec,500 m,Umgebung,1 Objekt,30 min,dä,Bewegen,Spruch,Erde,Feuer,"""2 Greifenaugenhälften"""
86,Midgard,Kälteschutz,,Ark,2,,,2,1,Gedanke,Augenblick,-,Körper,Zauberer,2 min,dä,Verändern,Spruch,Feuer,Erde,0
87,Midgard,Kraft entziehen,,Ark,2,,,2,1,Geste,Augenblick,Berührung,Körper,1 Wesen,0,sm,Zerstören,Spruch,Eis,Feuer,0
88,Midgard,Kraftraub,,Ark,2,,,3,2,Geste,10 sec,30 m,Umgebung,1 m²,"2 min, k",dä,Zerstören,Spruch,Magan,Feuer,0
89,Midgard,Lähmung,,Ark,2,,,10,8,Geste,20 sec,30 m,Körper,1 Wesen,24 h,dä,Verändern,Spruch,Metall,Erde,Basiliskenschuppe (100 GS)
90,Midgard,Lauschen,,Ark,2,,,1,1,Gedanke,1 min,30 cm,Umgebung,-,"10 min, k",dä,Formen,Spruch,Magan,Metall,0
91,Midgard,Lichtbrücke,,Ark,2,,,8,4,Geste,1 min,50 m,Umgebung,-,10 min,gö,Erschaffen,Spruch,Metall,Feuer,0
92,Midgard,Lichtrunen,,Ark,2,,,2,1,Geste,10 min,Berührung,Umgebung,1 m²,∞,dä,Formen,Spruch,Feuer,Metall,Nachtmarderhaarpinsel (50 GS)
93,Midgard,Liebeszauber,,Ark,2,,,8,4,Geste,1 h,-,Geist,1 Wesen,∞,dä,Beherrschen,Spruch,Wasser,Wasser,"""Liebestrank"" oder ""Locke"""
94,Midgard,Liniensicht,,Ark,2,,,1,1,Gedanke,Augenblick,bis zu 5 km,Geist,Zauberer,10 sec,dr,Erkennen,Spruch,Magan,Holz,0
95,Midgard,Luftlauf,,Ark,2,,,7,4,Gedanke,20 sec,-,Körper,Zauberer,"2 min, k",el,Bewegen,Spruch,Luft,Erde,0
96,Midgard,Luftsphäre,,Ark,2,,,8,4,Geste,20 sec,0 m,Umgebung,3 m Umkreis,1 h,el,Erschaffen,Spruch,Luft,Luft,Perle (100 GS)
97,Midgard,Macht über das Selbst,,Ark,2,,,1,1,Gedanke,10 sec,-,Körper,Zauberer,"24 h, k",dä,Beherrschen,Spruch,Metall,Feuer,0
98,Midgard,Macht über die belebte Natur,,Ark,2,,,4,2 je Grad,Wort,10 sec,30 m,Geist,1 Wesen je Grad,mind. 2 h,dä,Beherrschen,Spruch,Magan,Wasser,0
99,Midgard,Macht über die Sinne,,Ark,2,,,2,1 je Variation,Geste,10 sec,50 m,Geist,Zauberer,2-10 min,dä,Beherrschen,Spruch,Magan,Feuer,0
100,Midgard,Macht über Leben,,Ark,2,,,9,mind. 8,Geste,10 sec,6 m,Körper,1 Wesen,2 min,dä,Zerstören,Spruch,Eis,Erde,0
101,Midgard,Macht über magische Wesen,,Ark,2,,,7,3 je Grad,Wort,20 sec,30 m,Geist,1 Wesen je Grad,var,dä,Beherrschen,Spruch,Magan,Magan,0
102,Midgard,Macht über Menschen,,Ark,2,,,6,3 je Grad,Wort,20 sec,30 m,Geist,1 Wesen je Grad,var,dä,Beherrschen,Spruch,Magan,Luft,0
103,Midgard,Macht über Unbelebtes,,Ark,2,,,3,2,Geste,Augenblick,30 m,Umgebung,-,10 sec,dä,Bewegen,Spruch,Feuer,Metall,0
104,Midgard,Mag. Kreis des Bewachens,,Ark,2,,,6,6,Geste,30 min,0 m,Umgebung,10 m Umkreis,∞,dä,Erkennen,Spruch,Magan,Magan,"""Wächterwürfel"""
105,Midgard,Mag. Kreis des Verschleierns,,Ark,2,,,6,6,Geste,30 min,0 m,Umgebung,10 m Umkreis,∞,dä,Zerstören,Spruch,Magan,Magan,"""Wächterwürfel"""
106,Midgard,Mag. Kreis des Widerstehens,,Ark,2,,,6,6,Geste,30 min,0 m,Umgebung,10 m Umkreis,∞,dä,Formen,Spruch,Magan,Wasser,"""Wächterwürfel"""
107,Midgard,"Magischer Kreis, klein",,Ark,2,,,6,6,Geste,10 min,0 m,Umgebung,6 m Umkreis,8 h,dr,Erkennen,Spruch,Magan,Magan,"mit Eisendraht umwickelte Zweige von Eiche, Esche und Weißdorn (10 GS)"
108,Midgard,Marmorhaut,,Ark,2,,,5,3,Geste,10 sec,Berührung,Körper,1 Wesen,10 min,el,Verändern,Spruch,Erde,Erde,Marmorstaub (1 GS)
109,Midgard,Mitfühlen,,Ark,2,,,2,1,Gedanke,Augenblick,500 m,Geist,1 Wesen,"30 min, k",dä,Erkennen,Spruch,Wasser,Wasser,0
110,Midgard,Namenloses Grauen,,Ark,2,,,8,4 je Wesen,Geste,20 sec,30 m,Geist,1-3 Wesen,2 min,dä,Beherrschen,Spruch,Eis,Wasser,Schweiß von Alpträumenden (20 GS)
111,Midgard,Nebel schaffen,,Ark,2,,,7,4,Geste,20 sec,0 m,Umgebung,50 m Umkreis,30 min,el,Erschaffen,Spruch,Wasser,Wasser,versiegeltes Fläschchen voll Nebel (10 GS)
112,Midgard,Nebel wecken,,Ark,2,,,3,2,Geste,10 sec,0 m,Umgebung,500 m Umkreis,-,el,Formen,Spruch,Wasser,Luft,Staub (1 GS)
113,Midgard,Person wiederfinden,,Ark,2,,,3,2,Gedanke,10 min,unbegrenzt,Geist,1 Wesen,10 min,dä,Erkennen,Spruch,Magan,Luft,0
114,Midgard,Pestklaue,,Ark,2,,,10,5,Geste,Augenblick,Berührung,Körper,1 Wesen,0,sm,Zerstören,Spruch,Eis,Erde,Pestkrötenklaue (50 GS)
115,Midgard,Pflanzenfessel,,Ark,2,,,6,4,Geste,20 sec,50 m,Umgebung,10 m Umkreis,2 min,dr,Bewegen,Spruch,Feuer,Holz,Samenmischung (10 GS)
116,Midgard,Rauchwolke,,Ark,2,,,4,2,Geste,10 sec,30 m,Umgebung,9 m Umkreis,10 min,el,Formen,Spruch,Feuer,Luft,Asche und Zunder (1 GS)
117,Midgard,Reaktionsschnelle,,Ark,2,,,2,1,Geste,30 sec,30 m,Geist,1 Wesen,10 min,dä,Verändern,Spruch,Magan,Feuer,0
118,Midgard,Reise der Seele,,Ark,2,,,8,6,Gedanke,30 min,-,Geist,Zauberer,var,dr,Bewegen,Spruch,Luft,Feuer,0
119,Midgard,Rost,,Ark,2,,,1,2,Geste,Augenblick,Berührung,Umgebung,1 Objekt,0,dä,Formen,Spruch,Eis,Metall,0
120,Midgard,Schallwächter,,Ark,2,,,3,2,Geste,10 sec,15 m,Geist,Zauberer,10 min,el,Erkennen,Spruch,Magan,Luft,Golddrahtreif (10 GS)
121,Midgard,Scharfblick,,Ark,2,,,1,1,Gedanke,1 min,Berührung,Körper,1 Wesen,10 min,dä,Verändern,Spruch,Magan,Feuer,0
122,Midgard,Schattenrobe,,Ark,2,,,3,2,Wort,10 sec,-,Umgebung,Zauberer,10 min,dä,Formen,Spruch,Magan,Feuer,0
123,Midgard,Schattenschrecken,,Ark,2,,,7,4,Geste,20 sec,0 m,Umgebung,100 m Umkreis,30 min,dä,Bewegen,Spruch,Eis,Feuer,0
