Nr,game_system,name,Beschreibung,Quelle,source_id,page_number,bonus,stufe,ap,Art,Zauberdauer,Reichweite,Wirkungsziel,Wirkungsbereich,Wirkungsdauer,Ursprung,Category,learning_category,Agens,Reagens,Material (Kosten)
251,Midgard,Elfenklinge,,Ark,2,,,5,2,Geste,10 sec,Berührung,Umgebung,1 Objekt,10 min,dr,Formen,Dweomerzauber,Holz,Metall,"""Waffe mit Elfenstahlklinge"""
252,Midgard,Entgiften,,Ark,2,,,4,2,Wort,30 sec,3 m,Umgebung,1 Objekt,0,dr,Zerstören,Dweomerzauber,Holz,Eis,-
253,Midgard,Erkennen von Gift,,Ark,2,,,4,2,Gedanke,Augenblick,15 m,Geist,1 m²,0,dr,Erkennen,Dweomerzauber,Holz,Eis,-
254,Midgard,Erkennen von Krankheit,,Ark,2,,,2,1,Gedanke,10 min,Berührung,Geist,1 Wesen,0,dr,Erkennen,Dweomerzauber,Holz,Eis,-
255,Midgard,Fährtendurft,,Ark,2,,,3,1 je Wesen,Geste,1 min,Berührung,Körper,1-6 Wesen,30 min,dr,Verändern,Dweomerzauber,Holz,Erde,Tierkot (1 GS)
256,Midgard,Feenfluch,,Ark,2,,,5,2,Geste,10 sec,15 m,Körper,1 Wesen,∞,dr,Verändern,Dweomerzauber,Holz,Erde,-
257,Midgard,Feenschutz,,Ark,2,,,6,6,Geste,10 min,30 m,Geist,bis zu 7 Wesen,8 h,dr,Verändern,Dweomerzauber,Holz,Luft,"Zweige von Eiche, Esche und Weißdorn (2 GS), ""Stück Kaltes Eisen"""
258,Midgard,Feenschwert,,Ark,2,,,6,4,Geste,10 sec,0 m,Umgebung,-,2 min,dr,Erschaffen,Dweomerzauber,Holz,Holz,Turmalin (50 GS)
259,Midgard,Feuerbienen,,Ark,2,,,6,4,Geste,10 sec,50 m,Umgebung,Strahl,"2 min, k",dr,Erschaffen,Dweomerzauber,Holz,Holz,Turmalin (50 GS)
260,Midgard,Grüne Hand,,Ark,2,,,9,6,Geste,20 sec,Berührung,Umgebung,Pflanzen,2 min,dr,Formen,Dweomerzauber,Holz,Holz,"pulverisierte Wurzeln, Frühlingsregen (20 GS)"
261,Midgard,Kraftspende,,Ark,2,,,1,1,Geste,Augenblick,30 m,Körper,1 Wesen,0,dr,Bewegen,Dweomerzauber,Holz,Feuer,-
262,Midgard,Laufen wie der Wind,,Ark,2,,,5,3,Geste,10 sec,-,Körper,Zauberer,10 min,dr,Verändern,Dweomerzauber,Holz,Erde,-
263,Midgard,Lebensflammen,,Ark,2,,,3,1 je Wesen,Geste,10 sec,Berührung,Umgebung,bis zu 6 Wesen,2 min,dr,Erschaffen,Dweomerzauber,Holz,Holz,Zunder (1 SS)
264,Midgard,Lebenskeule,,Ark,2,,,5,2,Geste,10 sec,Berührung,Umgebung,1 Objekt,2 min,dr,Formen,Dweomerzauber,Holz,Holz,"""Waffe aus Holz"""
265,Midgard,Lebensrettung,,Ark,2,,,5,3,Geste,1 min,Berührung,Körper,1 Wesen,0,dr,Erschaffen,Dweomerzauber,Holz,Erde,-
266,Midgard,Lebensstärkung,,Ark,2,,,4,4,Geste,20 sec,Berührung,Körper,1 Wesen,30 min,dr,Erschaffen,Dweomerzauber,Holz,Feuer,-
267,Midgard,Lindern von Entkräftung,,Ark,2,,,7,5,Geste,10 min,Berührung,Körper,1 Wesen,0,dr,Erschaffen,Dweomerzauber,Holz,Feuer,-
268,Midgard,Lindern von Krankheit,,Ark,2,,,3,2,Geste,10 min,Berührung,Körper,1 Wesen,0,dr,Zerstören,Dweomerzauber,Holz,Eis,-
269,Midgard,Linienlesen,,Ark,2,,,1,1,Gedanke,Augenblick,bis zu 5 km,Geist,Zauberer,10 sec,dr,Erkennen,Dweomerzauber,Holz,Holz,-
270,Midgard,Linienwanderung,,Ark,2,,,8,4,Gedanke,20 sec,-,Körper,Zauberer,1 h,dr,Bewegen,Dweomerzauber,Luft,Feuer,-
271,Midgard,Mutlosigkeit,,Ark,2,,,2,2 je Wesen,Wort,Augenblick,30 m,Geist,bis zu 10 Wesen,10 min,dr,Beherrschen,Dweomerzauber,Holz,Wasser,-
272,Midgard,Naturgeist rufen,,Ark,2,,,4,3,Geste,5 min,500 m,Geist,-,2 min,dr,Beherrschen,Dweomerzauber,Holz,Holz,"""Weißdornpfeife"" bzw. ""Schamanentrommel"""
273,Midgard,Rindenhaut,,Ark,2,,,4,2,Geste,10 sec,Berührung,Körper,1 Wesen,10 min,dr,Verändern,Dweomerzauber,Holz,Erde,Eichenrinde (2 SS)
274,Midgard,Ring des Lebens,,Ark,2,,,5,4,Geste,Augenblick,0 m,Umgebung,bis zu 18 m Umkreis,1 min,dr,Zerstören,Dweomerzauber,Holz,Eis,Samen des Lebenskrautes (5 GS)
275,Midgard,Schlachtenwahnsinn,,Ark,2,,,8,6,Geste,10 sec,-,Körper,Zauberer,1 min,dr,Verändern,Dweomerzauber,Holz,Erde,-
276,Midgard,Schnellheilung,,Ark,2,,,6,4,Geste,10 min,Berührung,Körper,1 Wesen,0,dr,Erschaffen,Dweomerzauber,Holz,Erde,-
277,Midgard,Schutzgeist,,Ark,2,,,5,3,Geste,10 sec,-,Umgebung,Zauberer,bis zu 30 min,dr,Bewegen,Dweomerzauber,Luft,Erde,-
278,Midgard,Schwarm,,Ark,2,,,4,2,Wort,10 sec,50 m,Umgebung,-,"1 min, k",dr,Bewegen,Dweomerzauber,Holz,Erde,-
279,Midgard,Tiere rufen,,Ark,2,,,5,3-9,Wort,10 sec,2 km,Geist,1-10 Wesen,10 min,dr,Beherrschen,Dweomerzauber,Holz,Wasser,-
280,Midgard,Tiergestalt,,Ark,2,,,9,6,Geste,20 sec,-,Körper,Zauberer,∞,dr,Verändern,Dweomerzauber,Wasser,Erde,"Fellstück, Feder usw. (1 GS)"
281,Midgard,Tierischer Helfer,,Ark,2,,,4,2 je Grad,Wort,10 sec,30 m,Geist,1 Wesen je Grad,mind. 2 h,dr,Beherrschen,Dweomerzauber,Holz,Wasser,-
282,Midgard,Wandeln wie der Wind,,Ark,2,,,2,1,Geste,Augenblick,0 m,Umgebung,1 m Umkreis,10 min,dr,Formen,Dweomerzauber,Holz,Erde,Flugsamen verschiedener Pflanzen (5 SS)
283,Midgard,Wittern,,Ark,2,,,3,2,Geste,10 sec,-,Körper,Zauberer,30 min,dr,Verändern,Dweomerzauber,Holz,Erde,Spürhundhaare (5 GS)
284,Midgard,Wundersame Tarnung,,Ark,2,,,2,1,Gedanke,Augenblick,-,Umgebung,Zauberer,30 min,dr,Formen,Dweomerzauber,Holz,Erde,-
285,Midgard,Zähmen,,Ark,2,,,2,1 je Grad,Wort,10 sec,30 m,Geist,1 Wesen je Grad,2 h,dr,Beherrschen,Dweomerzauber,Holz,Wasser,-
286,Midgard,Zaubersprung,,Ark,2,,,3,2,Geste,10 sec,-,Körper,Zauberer,10 sec,dr,Verändern,Dweomerzauber,Holz,Erde,-
287,Midgard,Zeichen des Lebens,,Ark,2,,,8,6,Geste,20 sec,0,Körper,9 m Umkreis,10 min,dr,Zerstören,Dweomerzauber,Holz,Eis,-
,,,,,,,,,,,,,,,,,,,,,
288,Midgard,Das Lied des Erinnerns,,Ark,2,,,7,2,-,1 min,-,Geist,15 m Umkreis,0,-,Verändern,Zauberlied,Magan,Luft,"Harfe oder Laute, Stimme"
289,Midgard,Das Lied der Feier,,Ark,2,,,1,0,-,1 min,-,Geist,30 m Umkreis,30 min,-,Verändern,Zauberlied,Luft,Luft,"Flöte, Harfe oder Laute"
290,Midgard,Das Lied des Fesselns,,Ark,2,,,3,2,-,Augenblick,-,Geist,30 m Umkreis,3 min,-,Beherrschen,Zauberlied,Luft,Luft,"Flöte, Harfe oder Laute"
291,Midgard,Das Lied des Friedens,,Ark,2,,,10,2,-,1 min,-,Geist,15 m Umkreis,10 min,-,Beherrschen,Zauberlied,Metall,Wasser,"Harfe oder Laute, Stimme"
292,Midgard,Das Lied des Grauens,,Ark,2,,,9,4,-,1 min,-,Geist,200 m Kegel,1 min,-,Beherrschen,Zauberlied,Eis,Wasser,"Flöte, Stimme"
293,Midgard,Das Lied der Liebe,,Ark,2,,,7,0,-,1 min,15 m,Geist,1 Wesen,∞,-,Beherrschen,Zauberlied,Wasser,Wasser,"Harfe oder Laute, Stimme"
294,Midgard,Das Lied der Lockung,,Ark,2,,,8,2,-,1 min,-,Geist,200 m Kegel,1 min,-,Beherrschen,Zauberlied,Magan,Wasser,Flöte
295,Midgard,Das Lied der Ruhe,,Ark,2,,,3,2,-,1 min,-,Geist,30 m Umkreis,2 h,-,Beherrschen,Zauberlied,Wasser,Wasser,"Flöte, Harfe oder Laute"
296,Midgard,Das Lied des Spottes,,Ark,2,,,3,2,-,3 min,-,Geist,30 m Umkreis,∞,-,Verändern,Zauberlied,Luft,Luft,"Harfe oder Laute, Stimme"
297,Midgard,Das Lied der Tanzlust,,Ark,2,,,5,2,-,1 min,-,Geist,30 m Umkreis,1 min,-,Beherrschen,Zauberlied,Magan,Erde,Flöte
298,Midgard,Das Lied der Tapferkeit,,Ark,2,,,1,0,-,10 min,-,Geist,15 m Umkreis,30 min,-,Verändern,Zauberlied,Luft,Luft,"Flöte, Harfe oder Laute, Stimme"
299,Midgard,Das Lied der verborgenen Kraft,,Ark,2,,,6,2,-,1 min,-,Körper,15 m Umkreis,0,-,Verändern,Zauberlied,Magan,Feuer,"Flöte, Stimme"
300,Midgard,Das Lied der Verführung,,Ark,2,,,3,2,-,1 min,5 m,Geist,1 Wesen,6 h,-,Beherrschen,Zauberlied,Wasser,Wasser,"Harfe oder Laute, Stimme"
301,Midgard,Das Lied des Vergessens,,Ark,2,,,7,2,-,1 min,-,Geist,15 m Umkreis,∞,-,Verändern,Zauberlied,Magan,Luft,"Harfe oder Laute, Stimme"
302,Midgard,Das Lied der Verzweiflung,,Ark,2,,,7,4,-,3 min,15 m,Geist,1 Wesen,30 min,-,Verändern,Zauberlied,Magan,Luft,"Flöte, Harfe oder Laute, Stimme"
303,Midgard,Das Lied des Wagemuts,,Ark,2,,,3,2,-,1 min,-,Geist,15 m Umkreis,30 min,-,Verändern,Zauberlied,Luft,Feuer,"Flöte, Harfe oder Laute, Stimme"
304,Midgard,Das Lied des Wahnsinns,,Ark,2,,,9,4,-,3 min,-,Geist,30 m Umkreis,∞,-,Zerstören,Zauberlied,Magan,Luft,"Flöte, Stimme"
305,Midgard,Das Lied des Zorns,,Ark,2,,,11,2,-,1 min,-,Geist,30 m Umkreis,2 min,-,Beherrschen,Zauberlied,Wasser,Wasser,"Flöte, Stimme"
306,Midgard,Das Lied der Zwietracht,,Ark,2,,,10,2,-,1 min,-,Geist,15 m Umkreis,10 min,-,Beherrschen,Zauberlied,Magan,Wasser,"Harfe oder Laute, Stimme"
307,Midgard,Das Loblied,,Ark,2,,,3,2,-,1 min,-,Geist,30 m Umkreis,1-3 Tage,-,Verändern,Zauberlied,Luft,Luft,"Harfe oder Laute, Stimme"
308,Midgard,Der betäubende Gesang,,Ark,2,,,6,4,-,3 min,-,Geist,15 m Umkreis,1 min,-,Beherrschen,Zauberlied,Magan,Wasser,"Harfe oder Laute, Stimme"
309,Midgard,Der einschläfernde Gesang,,Ark,2,,,4,2,-,3 min,-,Geist,15 m Umkreis,1 min,-,Beherrschen,Zauberlied,Magan,Wasser,"Harfe oder Laute, Stimme"
310,Midgard,Der frohlockende Gesang,,Ark,2,,,4,2,-,1 min,-,Geist,15 m Umkreis,1 min,-,Verändern,Zauberlied,Luft,Luft,"Harfe oder Laute, Stimme"
311,Midgard,Der traurige Gesang,,Ark,2,,,4,2,-,1 min,-,Geist,15 m Umkreis,1 min,-,Verändern,Zauberlied,Magan,Luft,"Harfe oder Laute, Stimme"
312,Midgard,Der verunsichernde Gesang,,Ark,2,,,3,2,-,1 min,-,Geist,15 m Umkreis,1 min,-,Beherrschen,Zauberlied,Feuer,Luft,"Flöte, Harfe oder Laute, Stimme"
313,Midgard,Die anfeuernde Ballade,,Ark,2,,,2,2,-,1 min,50 m,Körper,1 Wesen,1 min,-,Verändern,Zauberlied,Magan,Luft,Flöte
314,Midgard,Die stählende Ballade,,Ark,2,,,2,2,-,1 min,-,Geist,15 m Umkreis,1 min,-,Verändern,Zauberlied,Metall,Luft,"Flöte, Harfe oder Laute, Stimme"
315,Midgard,Die Hymne der Ordnung,,Ark,2,,,6,2,-,Augenblick,-,Umgebung,15 m Umkreis,1 min,-,Zerstören,Zauberlied,Metall,Magan,"Flöte, Harfe oder Laute, Stimme"
316,Midgard,Die Klänge der Genesung,,Ark,2,,,6,2,-,1 min,-,Körper,15 m Umkreis,0,-,Verändern,Zauberlied,Magan,Erde,"Flöte, Harfe oder Laute, Stimme"
317,Midgard,Die Klänge der Linderung,,Ark,2,,,5,1,-,5 min,15 m,Geist,1 Wesen,0,-,Verändern,Zauberlied,Metall,Luft,"Harfe oder Laute, Stimme"
318,Midgard,Die Klänge des Zusammenwachsens,,Ark,2,,,5,2,-,3 min,-,Körper,15 m Umkreis,0,-,Verändern,Zauberlied,Magan,Erde,"Flöte, Harfe oder Laute, Stimme"
319,Midgard,Die überzeugende Stimme,,Ark,2,,,5,2,-,1 min,15 m,Geist,1 Wesen,2 min,-,Beherrschen,Zauberlied,Feuer,Luft,Stimme
,,,,,,,,,,,,,,,,,,,,,
320,Midgard,Automat schaffen,,ARKE,6,,,10,9,Geste,1 h,Berührung,Umgebung,1 Objekt,∞,dä,Formen,Spruch,Magan,Metall,"""Metallstatue"" (10.000 GS)"
321,Midgard,Bannen des Todes,,ARKE,6,,,12,alle (mind. 9),Geste,6 h,-,Körper,Zauberer,0,sm,Verändern,Spruch,Eis,Erde,"""Mensch, frisches Katzenherz"""
321,Midgard,Dämonische Eingebung,,ARKE,6,,,7,4,Gedanke,30 min,-,Geist,Zauberer,10 min,dä,Erkennen,Spruch,Magan,Luft,0
322,Midgard,Eismeisterschaft,,ARKE,6,,,10,9,Geste,30 sec,0 m,Umgebung,1 m Umkreis,1 h,el,Bewegen,Spruch,Wasser,Eis,"geschnitzter, in Silber gefasster Eisbärzahn (100 GS)"
322,Midgard,Erdmeisterschaft,,ARKE,6,,,11,9,Geste,30 sec,0 m,Umgebung,1 m Umkreis,1 h,el,Bewegen,Spruch,Wasser,Erde,Maulwurffell (2 GS)
323,Midgard,Heimstein,,ARKE,6,,,12,alle (mind. 9),Geste,24 h,0 m,Umgebung,50 m Umkreis,∞,dä,Zerstören,Spruch,Magan,Magan,"""Urgesteinsbrocken, Edelmetalle"" (500 GS)"
323,Midgard,Hexenritt,,ARKE,6,,,8,4 je  Grad,Geste,20 sec,Berührung,Geist,1 Wesen,6 h,sm,Beherrschen,Spruch,Eis,Feuer,Zaumzeug aus passenden Knochen und Leder (100 GS)
324,Midgard,Kuss der Verpflichtung,,ARKE,6,,,11,4 je Grad,Geste,10 sec,Berührung,Geist,1 Wesen,∞,dä,Beherrschen,Spruch,Magan,Luft,0
324,Midgard,Macht über die Zeit,,ARKE,6,,,11,18,Geste,30 min,15 m,Umgebung,2 m Umkreis,∞,dä,Zerstören,Spruch,Metall,Holz,0
325,Midgard,Modeln,,ARKE,6,,,5,4,Geste,10 sec,15 m,Umgebung,1 Objekt,2 min,dä,Formen,Spruch,Magan,Metall,0
325,Midgard,Pforte,,ARKE,6,,,10,9,Geste,30 min,3 m,Umgebung,2 × 1 m Umkreis,8 h,dä,Formen,Spruch,Magan,Metall,"""zwei Hexagone"" (200 GS)"
326,Midgard,Regenzauber,,ARKE,6,,,5,6 je 500 m Radius,Geste,10 min,0 m,Umgebung,variabler Umkreis,variabel,el,Erschaffen,Spruch,Magan,Wasser,Pulvermischung (500 GS)
326,Midgard,Reise in der Zeit,,ARKE,6,,,10,9 je Stufe,Gedanke,30 min,-,Geist,Zauberer,variabel,dä,Bewegen,Spruch,Luft,Feuer,0
327,Midgard,Reise zu den Sphären,,ARKE,6,,,11,18,Geste,30 min,-,Körper,1-6 Wesen,0,dä,Bewegen,Spruch,Feuer,Metall,"""Polygon"" (200 GS)"
327,Midgard,Silberblick,,ARKE,6,,,4,3,Geste,10 sec,0 m,Körper,30 m Kegel,10 sec,gö,Erkennen,Spruch,Magan,Wasser,Finger oder Ohr eines Hexers (500 GS)
328,Midgard,Sturmflut,,ARKE,6,,,10,6,Geste,1 min,0 m,Umgebung,2 km Kegel,10 min,el,Bewegen,Spruch,Wasser,Wasser,Peitsche mit Fischlederschnur (20 GS)
328,Midgard,Tor,,ARKE,6,,,12,12,Geste,1h,3 m,Umgebung,2 × 1 m Umkreis,1 Monat,dä,Formen,Spruch,Magan,Metall,"""zwei Hexagone"" (200 GS)"
329,Midgard,Ungeheuer rufen,,ARKE,6,,,4,2,Wort,10 sec,2 km,Geist,1 Wesen,10 min,sm,Beherrschen,Spruch,Magan,Magan,0
329,Midgard,Verfaulen,,ARKE,6,,,1,1,Geste,Augenblick,Berührung,Umgebung,1 kg,0,sm,Zerstören,Spruch,Eis,Holz,0
330,Midgard,Verjüngen,,ARKE,6,,,12,alle (mind. 9),Geste,6 h,1 m,Körper,1 Wesen,0,dr,Verändern,Spruch,Holz,Erde,"""Phönixei"" (5000 GS)"
330,Midgard,Wassertor,,ARKE,6,,,7,4,Geste,10 min,500 km,Umgebung,2000 Liter Wasser,10 sec,el,Bewegen,Spruch,Magan,Wasser,Fettkreide (200 GS)
331,Midgard,Weltentor,,ARKE,6,,,12,36,Geste,6 h,3 m,Umgebung,2 × 1 m Umkreis,1 Monat,dä,Formen,Spruch,Magan,Metall,"""zwei Polygone"" (400 GS)"
331,Midgard,Wetterzauber,,ARKE,6,,,6,6 je 500 m Radius,Geste,10 min,0 m,Umgebung,variabler Umkreis,variabel,el,Formen,Spruch,Magan,Luft,Pulvermischung (500 GS)
,Midgard,,,,,,,,,,,,,,,,,,,,
332,Midgard,Austreibung des Guten,,ARKE,6,,,4,5,Wort,10 sec,15 m,Körper,1 Wesen,0,dä,Bewegen,Wundertat,Magan,Feuer,0
333,Midgard,Bannen von Götterwerk,,ARKE,6,,,4,4,Wort,10 sec,15 m,Umgebung,1 Wesen/Objekt,0,sm,Zerstören,Wundertat,Magan,Magan,0
334,Midgard,Blutsbrüderschaft stiften,,ARKE,6,,,8,4,Geste,1 h,Berührung,Geist,2 Wesen,0,gö,Erschaffen,Wundertat,Wasser,Luft,0
335,Midgard,Geisterlauf,,ARKE,6,,,5,4 je Wesen,Geste,30 min,3 m,Körper,bis zu 7 Wesen,variabel,gö,Bewegen,Wundertat,Luft,Metall,"""Gewänder, Totem- oder Ahnensymbole"""
336,Midgard,Göttliche Strafe,,ARKE,6,,,10,6,Gedanke,1 min,500 km,Geist,1 Wesen/Objekt,∞,gö,Erkennen,Wundertat,Luft,Luft,0
337,Midgard,Golem schaffen,,ARKE,6,,,12,alle (mind. 9),Geste,12 h,Berührung,Umgebung,1 Objekt,∞,gö,Formen,Wundertat,Holz,Erde,"""Statue"" (1000 GS)"
338,Midgard,Leuchtspur,,ARKE,6,,,5,3,Geste,1 min,Berührung,Geist,Zauberer,6 h,gö,Erkennen,Wundertat,Feuer,Feuer,Phosphor und konservierte Glühwürmchen (100 GS)
339,Midgard,Rauchbild,,ARKE,6,,,8,4,Geste,10 min,1 m,Geist,Zauberer,5 min,gö,Erkennen,Wundertat,Feuer,Feuer,Regenbogenpulver (100 GS)
340,Midgard,Verbotenes Wort,,ARKE,6,,,7,6,Wort,10 sec,0 m,Körper,9 m Umkreis,variabel,sm,Zerstören,Wundertat,Magan,Metall,0
341,Midgard,Verpflichtung,,ARKE,6,,,11,alle (mind. 9),Wort,30 sec,15 m,Geist,1 Wesen,∞,gö,Beherrschen,Wundertat,Luft,Luft,0
342,Midgard,Weihestein,,ARKE,6,,,12,alle (mind. 9),Geste,24 h,0 m,Umgebung,50 m Umkreis,∞,gö,Zerstören,Wundertat,Magan,Magan,"""Urgesteinsbrocken"" oder ""Reliquie"" (100 GS)"
343,Midgard,Wiederkehr,,ARKE,6,,,11,alle (mind. 9),Wort,6 h,-,Geist,1 Wesen,∞,gö,Bewegen,Wundertat,Erde,Luft,0
,,,,,6,,,,,,,,,,,,,,,,
344,Midgard,Baumkämpfer,,ARKE,6,,,11,9,Wort,30 sec,50 m,Körper,1 Objekt,1 h,dr,Verändern,Dweomerzauber,Feuer,Holz,0
345,Midgard,Baumwächter,,ARKE,6,,,12,12,Wort,60 min,1 km,Körper,1 Objekt,∞,dr,Erschaffen,Dweomerzauber,Feuer,Holz,0
346,Midgard,Druidentor,,ARKE,6,,,9,9,Geste,30 min,3 m,Umgebung,2 × 1 m Umkreis,10 min,dr,Formen,Dweomerzauber,Holz,Metall,"""2 Steinkreise, Labyrinthe oder Hügelgräber druidischen Ursprungs"""
347,Midgard,Feenstreich,,ARKE,6,,,5,4,Geste,10 sec,15 m,Umgebung,1 Objekt,2 min,dr,Formen,Dweomerzauber,Magan,Metall,0
348,Midgard,Geas,,ARKE,6,,,10,alle (mind. 9),Wort,30 sec,15 m,Geist,1 Wesen,∞,dr,Beherrschen,Dweomerzauber,Holz,Luft,0
349,Midgard,Hort der Natur,,ARKE,6,,,12,alle (mind. 9),Geste,24 h,0 m,Umgebung,200 m Umkreis,∞,dr,Zerstören,Dweomerzauber,Holz,Eis,"""bearbeitete Steine"""
350,Midgard,Kunterbuntfische,,ARKE,6,,,4,2,Geste,10 sec,30 m,Umgebung,1 Wesen,1 min,dr,Bewegen,Dweomerzauber,Holz,Erde,7 Fischschuppen (2 SS)
351,Midgard,Pflanzenmann,,ARKE,6,,,7,4,Geste,20 sec,200 m,Umgebung,-,10 min,dr,Beherrschen,Dweomerzauber,Holz,Holz,0
351,Midgard,Rascheln wie der Wind,,ARKE,6,,,1,1,Geste,Augenblick,15 m,Umgebung,1 Wesen,1 h,dr,Formen,Dweomerzauber,Holz,Erde,3 trockene Herbstblätter
352,Midgard,Seelenfreundschaft stiften,,ARKE,6,,,8,4,Geste,1 h,Berührung,Geist,2 Wesen,0,dr,Erschaffen,Dweomerzauber,Wasser,Luft,0
352,Midgard,Seelenrückkehr,,ARKE,6,,,11,alle (mind. 9),Wort,6 h,-,Geist,1 Wesen,∞,dr,Bewegen,Dweomerzauber,Erde,Luft,0
353,Midgard,Zeitlosigkeit,,ARKE,6,,,11,18,Geste,30 min,15 m,Umgebung,2 m Umkreis,∞,dr,Zerstören,Dweomerzauber,Holz,Holz,0
353,Midgard,,,,,,,,,,,,,,,,,,,,
354,Midgard,Der große Seiltrick,,ARKE,6,,,10,6,0,3 min,-,Umgebung,1 Wesen,6 h,0,Bewegen,Wundertat,Magan,Metall,Flöte
355,Midgard,Der kleine Seiltrick,,ARKE,6,,,8,4,0,3 min,500 m,Umgebung,1 wesen,5 min,0,Bewegen,Wundertat,Magan,Metall,Flöte
