Nr,game_system,name,Beschreibung,Quelle,source_id,page_number,bonus,stufe,ap,Art,Zauberdauer,Reichweite,Wirkungsziel,Wirkungsbereich,Wirkungsdauer,Ursprung,Category,learning_category,Agens,Reagens,Material (Kosten) bzw. Auftragen auf,Zauberrune
116,midgard,Löschsalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Umgebung,1 Objekt,0,dä,Zerstören,Zaubersalz,Erde,Feuer,0,Löschsalz
117,midgard,Lösungsrune,,MYS,3,,,5,3,Geste,30 min,-,Umgebung,1 Wesen/Objekt,0,gö,Zerstören,Zauberrune,Luft,Magan,Espenholzstab (5 SS),Lösungsrune
118,midgard,Luftlauf,,MYS,3,,,7,4,Wort,Augenblick,-,Körper,1 Wesen,"2 min, k",el,Bewegen,Zaubersiegel,Luft,Erde,Fußsohlen,Luftlauf
119,midgard,Macht über das Selbst,,MYS,3,,,1,1,Wort,Augenblick,-,Körper,1 Wesen,"24 h, k",dä,Beherrschen,Zaubersiegel,Metall,Feuer,Stirn,Macht über das Selbst
120,midgard,Macht über die belebte Natur,,MYS,3,,,4,2 je Grad,Wort,Augenblick,30 m,Geist,1 Wesen je Grad,mind. 2 h,dä,Beherrschen,Zaubersiegel,Magan,Wasser,"Kopf, Brust und Gliedmaßen",Macht über die belebte Natur
121,midgard,Macht über Menschen,,MYS,3,,,6,3 je Grad,Wort,Augenblick,30 m,Geist,1 Wesen je Grad,mind. 2 h,dä,Beherrschen,Zaubersiegel,Magan,Luft,"Kopf, Brust und Gliedmaßen",Macht über Menschen
122,midgard,Marmorhaut,,MYS,3,,,5,3,Wort,Augenblick,Berührung,Körper,1 Wesen,10 min,el,Verändern,Zaubersiegel,Erde,Erde,Brust und Rücken,Marmorhaut
123,midgard,Mitfühlen,,MYS,3,,,2,1,Wort,Augenblick,500 m,Geist,1 Wesen,"30 min, k",dä,Erkennen,Zaubersiegel,Wasser,Wasser,Kopf,Mitfühlen
124,midgard,Niessalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Körper,1 Wesen,2 min,dä,Verändern,Zaubersalz,Holz,Erde,0,Niessalz
125,midgard,Person wiederfinden,,MYS,3,,,3,2,Wort,Augenblick,unbegrenzt,Körper,1 Wesen,10 min,dä,Erkennen,Zaubersiegel,Magan,Feuer,Rücken,Person wiederfinden
126,midgard,Pfeilrune,,MYS,3,,,4,2,Geste,30 min,-,Umgebung,1 Wesen,1 h,gö,Bewegen,Zauberrune,Luft,Metall,Eibenholzscheibe (5 SS),Pfeilrune
127,midgard,Pforte,,MYSE,5,,,11,9,Wort,Augenblick,3 m,Umgebung,2 × 1 m Umkreis,8 h,dä,Formen,Zaubersiegel E,Magan,Metall,0,Pforte
128,midgard,Rauchsalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Umgebung,1 m Umkreis,10 min,dä,Erschaffen,Zaubersalz,Feuer,Luft,0,Rauchsalz
129,midgard,Rauchwolke,,MYS,3,,,4,2,Wort,Augenblick,30 m,Umgebung,9 m Umkreis,10 min,el,Formen,Zaubersiegel,Feuer,Luft,Boden,Rauchwolke
130,midgard,Rauschsalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Körper,1 Wesen,0,dä,Verändern,Zaubersalz,Wasser,Erde,0,Rauschsalz
131,midgard,Reaktionsschnelle,,MYS,3,,,2,1,Wort,Augenblick,30 m,Geist,1 Wesen,10 min,dä,Verändern,Zaubersiegel,Magan,Feuer,Stirn,Reaktionsschnelle
132,midgard,Rederune,,MYS,3,,,2,1,Geste,30 min,-,Geist,1 Wesen,1 h,gö,Bewegen,Zauberrune,Luft,Feuer,Kieselstein (-),Rederune
133,midgard,Regenerieren,,MYS,3,,,7,5,Wort,Augenblick,Berührung,Körper,1 Wesen,0,dä,Erschaffen,Zaubersiegel,Magan,Feuer,Brust,Regenerieren
134,midgard,Regenrune,,MYS,3,,,5,9,Geste,30 min,-,Umgebung,1 km Umkreis,var,gö,Erschaffen,Zauberrune,Magan,Wasser,Specksteinfigur (10 GS),Regenrune
135,midgard,Reinigungselixier,,MYS,3,,,2,2,Geste,5 min,Berührung,Körper,1 Wesen,0,dä,Zerstören,Thaumatherapie,Magan,Magan,0,Reinigungselixier
136,midgard,Reiserune,,MYS,3,,,2,1,Geste,30 min,-,Körper,1 Wesen,7 Tage,gö,Verändern,Zauberrune,Magan,Wasser,Renntierknochen (5 SS),Reiserune
137,midgard,Riechsalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Umgebung,1 Wesen/Objekt,0,dä,Formen,Zaubersalz,Eis,Luft,0,Riechsalz
138,midgard,Rost,,MYS,3,,,1,2,Wort,Augenblick,Berührung,Umgebung,1 Objekt,0,dä,Formen,Zaubersiegel,Eis,Metall,Oberfläche,Rost
139,midgard,Rutschsalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Umgebung,1 Objekt,10 min,dä,Formen,Zaubersalz,Eis,Metall,0,Rutschsalz
140,midgard,Schatten verstärken,,MYS,3,,,1,1,Wort,Augenblick,0 m,Umgebung,15 m Umkreis,10 min,dä,Formen,Zaubersiegel,Eis,Feuer,Stirn,Schatten verstärken
141,midgard,Schattenlicht,,MYS,3,,,7,4,Geste,Augenblick,0 m,Umgebung,30 m Umkreis,10 min,dä,Bewegen,Runenstab,Eis,Feuer,0,Schattenlicht
142,midgard,Schattenrobe,,MYS,3,,,3,2,Wort,Augenblick,-,Umgebung,1 Wesen,10 min,dä,Formen,Zaubersiegel,Magan,Feuer,"Stirn, Brust und Gliedmaßen",Schattenrobe
143,midgard,Schildrune,,MYS,3,,,4,2,Geste,10 min,-,Umgebung,1 Objekt,1 h,gö,Verändern,Zauberrune,Magan,Holz,Holzschild (-),Schildrune
144,midgard,Schlafsalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Körper,1 Wesen,1 h,dä,Beherrschen,Zaubersalz,Magan,Wasser,0,Schlafsalz
145,midgard,Schleichsalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Umgebung,10 m²,8 h,dä,Formen,Zaubersalz,Magan,Luft,0,Schleichsalz
146,midgard,Schleiersiegel,,MYS,3,,,8,6,Wort,Augenblick,0 m,Umgebung,6 m Umkreis,8 h,dä,Zerstören,Zaubersiegel,Magan,Magan,Boden,Schleiersiegel
147,midgard,Schneiderune,,MYS,3,,,4,2,Geste,30 min,-,Umgebung,1 Wesen,1 h,gö,Verändern,Zauberrune,Magan,Metall,Eichenholzstück (2 KS),Schneiderune
148,midgard,Schnellrune,,MYS,3,,,5,3,Geste,30 min,-,Körper,1 Wesen,6 h,gö,Verändern,Zauberrune,Luft,Erde,Schuhsohle oder Huf (-),Schnellrune
149,midgard,Schrumpfen,,MYS,3,,,6,6,Wort,Augenblick,Berührung,Körper,1 Wesen,10 min,dä,Verändern,Zaubersiegel,Holz,Erde,Brust und Rücken,Schrumpfen
150,midgard,Schuhrune,,MYS,3,,,5,3,Geste,30 min,-,Geist,1 Wesen,∞,gö,Beherrschen,Zauberrune,Metall,Luft,Goldstaub (5 GS),Schuhrune
151,midgard,Schutzrune,,MYS,3,,,6,3,Geste,30 min,-,Geist,3 m Umkreis,12 h,gö,Beherrschen,Zauberrune,Luft,Eis,6 Fichtenholzstücke (1 KS),Schutzrune
152,midgard,Schwarze Sphäre,,MYS,3,,,9,4,Wort,Augenblick,0 m,Umgebung,5 m Umkreis,10 min,dä,Zerstören,Zaubersiegel,Magan,Wasser,Boden,Schwarze Sphäre
153,midgard,Schwarzer Schutzkreis,,MYS,3,,,9,4,Wort,Augenblick,0 m,Umgebung,5 m Umkreis,10 min,dä,Zerstören,Zaubersiegel,Magan,Magan,Boden,Schwarzer Schutzkreis
154,midgard,Schweben,,MYS,3,,,9,6,Wort,Augenblick,-,Körper,1 Wesen,1 min,dä,Bewegen,Zaubersiegel,Luft,Erde,Hände und Füße,Schweben
155,midgard,Schwerelosigkeit,,MYS,3,,,5,4,Wort,Augenblick,Berührung,Umgebung,1 Objekt,0,dä,Bewegen,Zaubersiegel,Luft,Metall,Oberfläche,Schwerelosigkeit
156,midgard,Seelenheilung,,MYS,3,,,4,2,Wort,10 min,Berührung,Geist,1 Wesen,0,gö,Verändern,Thaumatherapie,Holz,Luft,0,Seelenheilung
157,midgard,Sehen in Dunkelheit,,MYS,3,,,3,2,Wort,Augenblick,50 m,Körper,1 Wesen,30 min,dä,Verändern,Zaubersiegel,Feuer,Feuer,Augen,Sehen in Dunkelheit
158,midgard,Sehen von Verborgenem,,MYS,3,,,3,1,Wort,Augenblick,30 cm,Umgebung,-,5 min,dä,Formen,Zaubersiegel,Magan,Metall,Fläche,Sehen von Verborgenem
159,midgard,Seidenauge,,MYS,3,,,5,2,Wort,Augenblick,500 m,Umgebung,1 Objekt,30 min,dä,Bewegen,Zaubersiegel,Erde,Feuer,Stoffstück,Seidenauge
160,midgard,Silberne Bannsphäre,,MYS,3,,,4,2,Wort,Augenblick,0 m,Geist,3 m Umkreis,2 min,gö,Beherrschen,Zaubersiegel,Luft,Feuer,Boden,Silberne Bannsphäre
161,midgard,Silberstaub,,MYS,3,,,2,1,Wort,Augenblick,Berührung,Umgebung,1 Wesen,2 min,dä,Erschaffen,Zaubersiegel,Magan,Metall,Brust und Rücken,Silberstaub
162,midgard,Stabilisieren,,MYS,3,,,4,3,Geste,5 min,Berührung,Körper,1 Wesen,0,dä,Verändern,Thaumatherapie,Magan,Erde,0,Stabilisieren
163,midgard,Stählen,,MYS,3,,,6,3,Geste,5 min,Berührung,Körper,1 Wesen,30 min,dä,Verändern,Thaumatherapie,Magan,Erde,0,Stählen
164,midgard,Stärke,,MYS,3,,,2,1,Wort,Augenblick,30 m,Körper,1 Wesen,2 min,dä,Verändern,Zaubersiegel,Magan,Erde,Arme,Stärke
165,midgard,Stärkerune,,MYS,3,,,4,2,Geste,30 min,-,Körper,1 Wesen,var,gö,Verändern,Zauberrune,Luft,Erde,Ochsenhornscheibe (8 SS),Stärkerune
166,midgard,Stärkungselixier,,MYS,3,,,2,1,Geste,5 min,Berührung,Körper,1 Wesen,30 min,dä,Verändern,Thaumatherapie,Magan,Erde,0,Stärkungselixier
167,midgard,Stille,,MYS,3,,,3,2,Geste,Augenblick,0 m,Umgebung,3 m Umkreis,1 min,dä,Formen,Runenstab,Metall,Luft,0,Stille
168,midgard,Stinksalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Umgebung,6 m Umkreis,10 min,dä,Erschaffen,Zaubersalz,Eis,Erde,0,Stinksalz
169,midgard,Stottersalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Geist,1 Wesen,10 min,dä,Beherrschen,Zaubersalz,Magan,Luft,0,Stottersalz
170,midgard,Sturmwind,,MYS,3,,,10,6,Geste,Augenblick,0 m,Umgebung,30 m Kegel,"2 min, k",el,Bewegen,Runenstab,Luft,Luft,0,Sturmwind
171,midgard,Taubsalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Körper,1 Wesen,10 min,dä,Verändern,Zaubersalz,Magan,Wasser,0,Taubsalz
172,midgard,Tierisches Handeln,,MYS,3,,,9,6,Wort,Augenblick,30 m,Geist,1 Wesen,var,dä,Beherrschen,Zaubersiegel,Wasser,Luft,Stirn,Tierisches Handeln
173,midgard,Tierrune,,MYS,3,,,8,6,Geste,30 min,-,Körper,Zauberer,1W6 h,gö,Verändern,Zauberrune,Wasser,Erde,Knochenstück (1 GS),Tierrune
174,midgard,Tiersprache,,MYS,3,,,7,4,Wort,20 sec,15 m,Körper,Zauberer,2 min,dr,Erkennen,Dweomer,Wasser,Luft,0,Tiersprache
175,midgard,Todeshauch,,MYS,3,,,5,3,Wort,Augenblick,0 m,Umgebung,bis zu 18 m Umkreis,1 min,dä,Erschaffen,Zaubersiegel,Eis,Wasser,Boden,Todeshauch
176,midgard,Todesstarre,,MYSE,5,,,9,6,Geste,10 min,Berührung,Körper,1 Wesen,var,dä,Verändern,Thaumatherapie E,Eis,Erde,0,Todesstarre
177,midgard,Tor,,MYSE,5,,,12,12,Wort,Augenblick,3 m,Umgebung,2 × 1 m Umkreis,1 Monat,dä,Formen,Zaubersiegel E,Magan,Metall,0,Tor
178,midgard,Torwandeln,,MYS,3,,,8,4,Wort,Augenblick,Berührung,Umgebung,30 cm,1 min ,el,Formen,Zaubersiegel,Magan,Holz,Tür,Torwandeln
179,midgard,Totenrune,,MYS,3,,,5,3,Geste,30 min,-,Körper,1 Wesen,10 min,gö,Beherrschen,Zauberrune,Luft,Eis,Eibenholzstab (5 SS),Totenrune
180,midgard,Totenstimme,,MYS,3,,,5,3,Geste,10 min,Berührung,Körper,1 Wesen,var,dä,Bewegen,Thaumatherapie,Magan,Feuer,0,Totenstimme
181,midgard,Trampelsalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Umgebung,10 m²,8 h,dä,Formen,Zaubersalz,Magan,Luft,0,Trampelsalz
182,midgard,Traumrune,,MYS,3,,,6,3,Geste,30 min,-,Geist,Zauberer,0,gö,Erkennen,Zauberrune,Luft,Luft,Eschenholzstück (1 KS),Traumrune
183,midgard,Treuerune,,MYS,3,,,6,3 je Wesen,Geste,30 min,-,Geist,2-7 Wesen,0,gö,Erschaffen,Zauberrune,Wasser,Luft,Goldreif (100 GS),Treuerune
184,midgard,Umkehrschild,,MYS,3,,,9,6 je Seite,Wort,Augenblick,15 m,Umgebung,-,2 min,dä,Erschaffen,Zaubersiegel,Metall,Magan,Boden,Umkehrschild
185,midgard,Ungeheuerrune,,MYS,3,,,5,4,Geste,10 min,-,Geist,3 m Umkreis,12 h,gö,Beherrschen,Zauberrune,Luft,Erde,Stab aus Kaltem Eisen (50 GS),Ungeheuerrune
186,midgard,Unheilsrune,,MYS,3,,,4,2,Geste,30 min,-,Körper,1 Wesen,7 Tage,gö,Zerstören,Zauberrune,Eis,Erde,Buchenholzstück (1 KS),Unheilsrune
187,midgard,Unsichtbarkeit,,MYS,3,,,4,4,Wort,Augenblick,-,Körper,1 Wesen,"10 min, k",dä,Verändern,Zaubersiegel,Luft,Metall,"Körper, Besitz",Unsichtbarkeit
188,midgard,Untersuchen,,MYS,3,,,3,1,Geste,10 min,Berührung,Körper,1 Wesen,0,dr,Erkennen,Thaumatherapie,Holz,Eis,0,Untersuchen
189,midgard,Vereisen,,MYS,3,,,9,7,Geste,Augenblick,3 m,Umgebung,1 Wesen,∞,dä,Verändern,Runenstab,Eis,Erde,0,Vereisen
190,midgard,Vergrößern,,MYS,3,,,5,6,Wort,Augenblick,Berührung,Umgebung,1 Objekt,10 min,dä,Formen,Zaubersiegel,Magan,Metall,Oberfläche,Vergrößern
191,midgard,Verjüngungselixier,,MYS,3,,,12,mind. 9,Geste,6 h,Berührung,Körper,1 Wesen,0,dr,Verändern,Thaumatherapie,Holz,Erde,0,Verjüngungselixier
192,midgard,Verkleinern,,MYS,3,,,5,6,Wort,Augenblick,Berührung,Umgebung,1 Objekt,10 min,dä,Formen,Zaubersiegel,Magan,Metall,Oberfläche,Verkleinern
193,midgard,Vertieren,,MYS,3,,,5,3,Wort,Augenblick,30 m,Geist,1 Wesen,10 min,dä,Beherrschen,Zaubersiegel,Wasser,Luft,Stirn,Vertieren
194,midgard,Verwandung,,MYS,3,,,11,mind. 9,Wort,Augenblick,Berührung,Körper,1 Wesen,∞,dä,Verändern,Zaubersiegel,Holz,Erde,Brust,Verwandung
195,midgard,Vesetzen,,MYS,3,,,8,2,Wort,Augenblick,500 m,Umgebung,1 Wesen,24 h,dä,Bewegen,Zaubersiegel,Magan,Metall,Fußsohlen,Vesetzen
196,midgard,Wachsen,,MYS,3,,,6,6,Wort,Augenblick,Berührung,Körper,1 Wesen,10 min,dä,Verändern,Zaubersiegel,Holz,Erde,Brust und Rücken,Wachsen
197,midgard,Wächtersiegel,,MYS,3,,,8,6,Wort,Augenblick,0 m,Umgebung,6 m Umkreis,8 h,dä,Erkennen,Zaubersiegel,Magan,Magan,Boden,Wächtersiegel
198,midgard,Waffenweihe,,MYS,3,,,3,2,Geste,10 min,0 m,Umgebung,1 Objekt,12 h,gö,Formen,Wundertat,Luft,Metall,0,Waffenweihe
199,midgard,Wahrheitsrune,,MYS,3,,,2,1,Geste,30 min,-,Geist,1 Wesen,10 min,gö,Beherrschen,Zauberrune,Magan,Luft,Goldring (30 GS),Wahrheitsrune
200,midgard,Wandelsalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Umgebung,1 kg,10 min,dä,Formen,Zaubersalz,Magan,Metall,0,Wandelsalz
201,midgard,Wandwandeln,,MYS,3,,,9,6,Wort,Augenblick,Berührung,Umgebung,30 cm,1 min,el,Formen,Zaubersiegel,Magan,Erde,Oberfläche,Wandwandeln
202,midgard,Warnung,,MYS,3,,,3,2,Geste,Augenblick,0 m,Geist,15 m Umkreis,10 min,dä,Erkennen,Runenstab,Luft,Eis,0,Warnung
203,midgard,Wasseratmen,,MYS,3,,,3,2,Wort,Augenblick,Berührung,Körper,1 Wesen,8 h,el,Verändern,Zaubersiegel,Luft,Wasser,Nase,Wasseratmen
204,midgard,Wasserlauf,,MYS,3,,,5,3,Wort,Augenblick,-,Körper,1 Wesen,10 min,el,Bewegen,Zaubersiegel,Wasser,Erde,Fußsohlen,Wasserlauf
205,midgard,Wassersalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Körper,1 Wesen,0,dä,Beherrschen,Zaubersalz,Wasser,Erde,0,Wassersalz
206,midgard,Wasserstrahl,,MYS,3,,,8,4,Geste,Augenblick,5 m,Umgebung,Strahl,"1 min, k",el,Erschaffen,Runenstab,Wasser,Wasser,0,Wasserstrahl
207,midgard,Wassertor,,MYSE,5,,,7,4,Wort,Augenblick,500 km,Umgebung,2000 Liter Wasser,10 sec,el,Bewegen,Zaubersiegel E,Magan,Wasser,0,Wassertor
208,midgard,Wasserweihe,,MYS,3,,,1,1,Geste,30 min,0 m,Umgebung,1 Objekt,∞,gö,Formen,Wundertat,Luft,Wasser,0,Wasserweihe
209,midgard,Wehrrune,,MYS,3,,,7,4,Geste,30 min,-,Umgebung,1 Wesen/Objekt,0,gö,Zerstören,Zauberrune,Metall,Magan,Eschenholzstab (5 SS),Wehrrune
210,midgard,Wehrsiegel,,MYS,3,,,10,8,Wort,Augenblick,0 m,Umgebung,6 m Umkreis,8 h,dä,Formen,Zaubersiegel,Magan,Wasser,Boden,Wehrsiegel
211,midgard,Wehsalz,,MYS,3,,,1,1,Gedanke,Augenblick,500 m,Körper,1 Wesen,10 sec,dä,Bewegen,Zaubersalz,Magan,Erde,0,Wehsalz
212,midgard,Weihen,,MYS,3,,,11,12,Geste,30 min,0 m,Umgebung,1 Objekt,∞,gö,Formen,Wundertat,Luft,Magan,0,Weihen
213,midgard,Weltentor,,MYSE,5,,,12,36,Wort,Augenblick,3 m,Umgebung,2 × 1 m Umkreis,1 Monat,dä,Formen,Zaubersiegel E,Magan,Metall,0,Weltentor
214,midgard,Wetterrune,,MYS,3,,,6,9,Geste,30 min,-,Umgebung,1 km Umkreis,var,gö,Verändern,Zauberrune,Magan,Luft,Specksteinfigur (10 GS),Wetterrune
215,midgard,Wiederbelebung,,MYS,3,,,12,alle,Geste,30 min,Berührung,Körper,1 Wesen,0,dä,Bewegen,Thaumatherapie,Magan,Feuer,0,Wiederbelebung
216,midgard,Willenszeiger,,MYS,3,,,2,1,Gedanke,1 min,3 m,Geist,1 Wesen,0,dä,Erkennen,Thaumatherapie,Magan,Luft,0,Willenszeiger
217,midgard,Windstoß,,MYS,3,,,2,1,Geste,Augenblick,0 m,Umgebung,30 m Kegel,10 sec,el,Bewegen,Runenstab,Luft,Luft,0,Windstoß
218,midgard,Wogenrune,,MYS,3,,,10,6,Geste,30 min,-,Umgebung,100 m Umkreis,12 h,gö,Bewegen,Zauberrune,Wasser,Wasser,Schiff oder Boot (-),Wogenrune
219,midgard,Wunderheilung,,MYS,3,,,6,6,Geste,20 min,Berührung,Körper,1 Wesen,0,gö,Erschaffen,Thaumatherapie,Holz,Erde,0,Wunderheilung
220,midgard,Wundpflaster,,MYS,3,,,4,4,Geste,10 min,Berührung,Körper,1 Wesen,0,gö,Erschaffen,Thaumatherapie,Holz,Erde,0,Wundpflaster
221,midgard,Wundrune,,MYS,3,,,4,2,Geste,30 min,-,Körper,1 Wesen,0,gö,Erschaffen,Zauberrune,Holz,Erde,Kieselstein und Stechpalmenblätter (5 KS),Wundrune
222,midgard,Zauberheilung,,MYS,3,,,10,8,Geste,30 min,Berührung,Körper,1 Wesen,0,gö,Erschaffen,Thaumatherapie,Holz,Erde,0,Zauberheilung
223,midgard,Zauberlicht,,MYS,3,,,3,2,Geste,Augenblick,0 m,Umgebung,15 m Kegel,30 min,el,Erschaffen,Runenstab,Feuer,Feuer,0,Zauberlicht
224,midgard,Zauberschild,,MYS,3,,,5,4 je Seite,Wort,Augenblick,15 m,Umgebung,-,2 min,dä,Erschaffen,Zaubersiegel,Metall,Magan,Boden,Zauberschild
225,midgard,Zauberschloss,,MYS,3,,,2,1,Wort,Augenblick,Berührung,Umgebung,1 Objekt,12 h,dä,Bewegen,Zaubersiegel,Metall,Holz,Oberfläche,Zauberschloss
226,midgard,Zauberschlüssel,,MYS,3,,,3,2,Geste,Augenblick,Berührung,Umgebung,1 Objekt,0,dä,Bewegen,Runenstab,Magan,Holz,0,Zauberschlüssel
227,midgard,Zauberschmiede,,MYS,3,,,5,3-9,Wort,Augenblick,Berührung,Umgebung,1 Objekt,10 min,dä,Formen,Zaubersiegel,Magan,Metall,Oberfläche,Zauberschmiede
228,midgard,Zauberstimme,,MYS,3,,,3,2,Wort,Augenblick,50 m,Umgebung,-,12 h,dä,Erschaffen,Zaubersiegel,Magan,Luft,Oberfläche,Zauberstimme
229,midgard,Zauberzeiger,,MYS,3,,,1,1,Geste,10 min,Berührung,Körper,1 Wesen,0,dä,Erkennen,Thaumatherapie,Magan,Erde,0,Zauberzeiger
230,midgard,Zielsuche,,MYS,3,,,5,2,Wort,Augenblick,Berührung,Umgebung,1 Objekt,10 min,dr,Formen,Zaubersiegel,Luft,Holz,Geschoss,Zielsuche
231,midgard,Zugrune,,MYS,3,,,5,3,Geste,30 min,-,Umgebung,1 Objekt,30 min,gö,Bewegen,Zauberrune,Feuer,Metall,Rad oder Kufe (-),Zugrune
232,midgard,Zündersalz,,MYS,3,,,2,1,Gedanke,Augenblick,500 m,Umgebung,1 Objekt,0,dä,Erschaffen ,Zaubersalz,Feuer,Feuer,0,Zündersalz
233,midgard,Zwiesprache,,MYS,3,,,2,1,Wort,Augenblick,500 m,Körper,1 Wesen,"10 min, k",dä,Erkennen,Zaubersiegel,Feuer,Luft,Stirn,Zwiesprache
